城市,省份,区域,年份,创新指数,数字经济发展指数,宽带接入率,财政科技支出,人力资本,产业结构升级,人口密度,智慧城市试点,绿色专利占比
武汉,湖北,中部,2023,75.5,69.4,86.0,5.4,37.4,54.4,1245,1,14.6
武汉,湖北,中部,2024,76.8,70.9,87.0,5.7,38.2,55.3,1258,1,15.9
武汉,湖北,中部,2025,78.6,72.7,88.3,6.0,39.0,56.3,1271,1,17.3
武汉,湖北,中部,2026,80.2,74.1,89.3,6.3,39.7,57.2,1284,1,18.6
长沙,湖南,中部,2018,60.8,55.7,75.8,3.4,31.4,44.8,722,0,6.5
长沙,湖南,中部,2019,62.4,57.0,76.8,3.7,32.1,45.6,730,0,7.6
长沙,湖南,中部,2020,63.7,58.6,77.9,3.9,32.8,46.6,738,0,8.9
长沙,湖南,中部,2021,65.6,60.0,78.9,4.2,33.5,47.4,746,0,10.0
长沙,湖南,中部,2022,67.8,62.0,80.0,4.5,34.3,48.4,754,1,11.7
长沙,湖南,中部,2023,69.4,63.5,81.0,4.8,34.9,49.3,762,1,13.0
长沙,湖南,中部,2024,71.0,65.4,82.3,5.1,35.7,50.3,770,1,14.4
长沙,湖南,中部,2025,72.5,66.8,83.3,5.4,36.4,51.2,778,1,15.6
长沙,湖南,中部,2026,74.5,68.7,84.6,5.7,37.3,52.3,786,1,17.1
郑州,河南,中部,2018,61.6,56.8,76.6,3.5,32.0,45.6,978,0,6.9
郑州,河南,中部,2019,63.5,58.4,77.7,3.8,32.7,46.5,988,0,8.1
郑州,河南,中部,2020,64.5,59.6,78.7,4.0,33.4,47.4,998,0,9.3
郑州,河南,中部,2021,66.6,61.1,79.8,4.3,34.2,48.3,1008,0,10.5
郑州,河南,中部,2022,68.4,62.6,80.7,4.6,34.8,49.1,1018,1,12.0
郑州,河南,中部,2023,70.2,64.3,81.9,4.9,35.6,50.2,1028,1,13.5
郑州,河南,中部,2024,71.5,65.6,82.9,5.2,36.3,51.1,1038,1,14.7
郑州,河南,中部,2025,73.3,67.4,84.2,5.5,37.1,52.1,1048,1,16.1
郑州,河南,中部,2026,74.9,68.8,85.3,5.8,37.9,53.1,1058,1,17.4
成都,四川,西部,2018,65.3,60.1,79.5,3.8,34.5,48.1,970,0,7.8
成都,四川,西部,2019,66.9,61.5,80.5,4.1,35.2,48.9,986,0,8.9
成都,四川,西部,2020,68.7,63.4,81.6,4.3,35.9,49.9,1002,1,10.6
成都,四川,西部,2021,70.6,64.6,82.5,4.6,36.6,50.7,1018,1,11.7
成都,四川,西部,2022,72.3,66.5,83.6,4.9,37.3,51.6,1034,1,13.0
成都,四川,西部,2023,73.9,68.0,84.6,5.2,38.0,52.5,1050,1,14.2
成都,四川,西部,2024,75.5,70.0,85.9,5.5,38.8,53.6,1066,1,15.7
成都,四川,西部,2025,77.1,71.5,87.0,5.8,39.5,54.5,1082,1,16.9
成都,四川,西部,2026,78.8,73.1,88.0,6.1,40.3,55.5,1098,1,18.2
西安,陕西,西部,2018,62.5,57.7,76.9,3.5,33.1,45.9,842,0,6.9
西安,陕西,西部,2019,64.4,59.3,78.0,3.8,33.8,46.8,853,0,8.1
西安,陕西,西部,2020,65.3,60.5,78.9,4.0,34.5,47.6,864,0,9.2
西安,陕西,西部,2021,67.4,62.1,80.0,4.3,35.2,48.6,875,0,10.5
西安,陕西,西部,2022,69.3,63.6,80.9,4.6,35.9,49.4,886,1,12.0
西安,陕西,西部,2023,71.2,65.5,82.2,4.9,36.6,50.4,897,1,13.4
西安,陕西,西部,2024,72.5,67.0,83.3,5.2,37.4,51.4,908,1,14.7
西安,陕西,西部,2025,74.1,68.4,84.3,5.5,38.1,52.3,919,1,16.0
西安,陕西,西部,2026,75.9,70.2,85.6,5.8,39.0,53.4,930,1,17.4
重庆,重庆,西部,2018,64.2,59.1,78.1,3.6,33.7,47.3,1248,0,7.3
重庆,重庆,西部,2019,65.7,60.2,79.0,3.9,34.4,48.1,1263,0,8.4
重庆,重庆,西部,2020,67.0,61.8,80.1,4.2,35.1,49.0,1278,0,9.6
重庆,重庆,西部,2021,69.3,63.2,81.0,4.4,35.8,49.8,1293,1,11.1
重庆,重庆,西部,2022,71.0,65.1,82.2,4.7,36.5,50.8,1308,1,12.4
重庆,重庆,西部,2023,72.7,66.6,83.2,5.0,37.2,51.7,1323,1,13.7
重庆,重庆,西部,2024,74.0,68.1,84.3,5.3,37.9,52.6,1338,1,15.0
重庆,重庆,西部,2025,75.8,69.9,85.6,5.6,38.8,53.7,1353,1,16.4
重庆,重庆,西部,2026,77.4,71.4,86.6,5.9,39.5,54.6,1368,1,17.7
贵阳,贵州,西部,2018,56.6,52.4,71.5,3.0,29.8,42.5,520,0,5.8
贵阳,贵州,西部,2019,58.5,53.9,72.6,3.3,30.5,43.4,527,0,7.0
贵阳,贵州,西部,2020,59.4,55.0,73.5,3.5,31.2,44.2,534,0,8.1
贵阳,贵州,西部,2021,61.5,56.6,74.7,3.8,31.9,45.2,541,0,9.4
贵阳,贵州,西部,2022,62.9,58.0,75.6,4.1,32.6,46.0,548,0,10.5
贵阳,贵州,西部,2023,65.0,59.6,76.7,4.4,33.3,47.0,555,1,12.2
贵阳,贵州,西部,2024,66.6,61.4,77.9,4.7,34.1,48.0,562,1,13.7
贵阳,贵州,西部,2025,68.2,62.8,79.0,5.0,34.9,49.0,569,1,15.0
贵阳,贵州,西部,2026,70.0,64.6,80.3,5.3,35.7,50.0,576,1,16.4
